iso_alpha,Country.of.Origin,Processing.Method,Harvest.Year,Average_Aroma,Average_Flavor,Average_Aftertaste,Average_Acidity,Average_Balance,Average_Sweetness,Average_Clean.Cup
BDI,BURUNDI,Unknown,2016.0,7.08,7.25,7.17,7.33,7.08,10.0,10.0
BDI,BURUNDI,Washed / Wet,2012.0,7.75,7.67,7.33,7.5,7.75,10.0,10.0
BRA,BRAZIL,48H fermented aerobic - dried in Dark Room (60 days),2023.0,7.58,7.67,7.67,7.58,7.75,10.0,10.0
BRA,BRAZIL,48H fermented aerobic - dried on african beds (20 days,2023.0,7.67,7.58,7.5,7.58,7.67,10.0,10.0
BRA,BRAZIL,Natural / Dry,2011.0,8.25,8.148,7.875,7.875,7.875,10.0,10.0
BRA,BRAZIL,Natural / Dry,2012.0,7.622,7.613,7.47,7.463,7.524,10.0,10.0
BRA,BRAZIL,Natural / Dry,2013.0,7.653,7.625,7.502,7.598,7.763,10.0,10.0
BRA,BRAZIL,Natural / Dry,2014.0,7.452,7.541,7.418,7.423,7.457,9.762,9.762
BRA,BRAZIL,Natural / Dry,2015.0,7.366,7.538,7.331,7.433,7.532,9.872,9.872
BRA,BRAZIL,Natural / Dry,2016.0,7.406,7.517,7.386,7.486,7.54,9.977,9.885
BRA,BRAZIL,Natural / Dry,2017.0,7.465,7.463,7.374,7.52,7.359,10.0,9.5
BRA,BRAZIL,Natural / Dry,2018.0,7.471,7.476,7.374,7.523,7.345,10.0,9.429
BRA,BRAZIL,Natural / Dry,2022.0,7.5,7.58,7.33,7.5,7.42,10.0,10.0
BRA,BRAZIL,Natural / Dry,2023.0,7.28,7.333,7.22,7.36,7.277,10.0,10.0
BRA,BRAZIL,Natural / Dry,2024.0,7.375,7.355,7.312,7.355,7.31,10.0,10.0
BRA,BRAZIL,Natural Fermentation / Sundried,2023.0,8.5,8.5,8.25,8.42,8.17,10.0,10.0
BRA,BRAZIL,Other,2014.0,7.17,7.33,7.42,7.25,7.33,10.0,10.0
BRA,BRAZIL,Other,2015.0,7.17,7.33,7.42,7.25,7.33,10.0,10.0
BRA,BRAZIL,Pulped natural / honey,2015.0,7.583,7.553,7.58,7.5,7.527,10.0,10.0
BRA,BRAZIL,Pulped natural / honey,2016.0,7.415,7.375,7.295,7.585,7.25,10.0,10.0
BRA,BRAZIL,Pulped natural / honey,2017.0,7.25,7.17,7.085,7.42,7.21,10.0,10.0
BRA,BRAZIL,Pulped natural / honey,2018.0,7.17,7.17,7.0,7.17,7.25,10.0,10.0
BRA,BRAZIL,Semi-washed / Semi-pulped,2011.0,8.068,7.888,7.735,7.723,7.777,10.0,10.0
BRA,BRAZIL,Semi-washed / Semi-pulped,2012.0,7.657,7.612,7.37,7.557,7.509,9.926,9.926
BRA,BRAZIL,Semi-washed / Semi-pulped,2013.0,7.53,7.5,7.39,7.443,7.613,10.0,9.777
BRA,BRAZIL,Semi-washed / Semi-pulped,2014.0,7.464,7.547,7.536,7.5,7.727,9.809,9.904
BRA,BRAZIL,Semi-washed / Semi-pulped,2015.0,7.384,7.516,7.382,7.482,7.652,9.866,10.0
BRA,BRAZIL,Semi-washed / Semi-pulped,2016.0,7.375,7.58,7.25,7.54,7.585,10.0,10.0
BRA,BRAZIL,Unknown,2010.0,8.295,7.92,7.96,7.75,8.0,10.0,10.0
BRA,BRAZIL,Unknown,2011.0,7.732,7.784,7.45,7.6,7.55,10.0,10.0
BRA,BRAZIL,Unknown,2016.0,7.4,7.284,7.232,7.282,7.236,10.0,9.6
BRA,BRAZIL,Washed / Wet,2012.0,7.58,7.58,7.25,7.58,7.5,10.0,10.0
BRA,BRAZIL,Washed / Wet,2013.0,7.42,7.42,7.33,7.33,7.25,10.0,10.0
BRA,BRAZIL,Washed / Wet,2014.0,7.312,7.355,7.23,7.27,7.25,10.0,10.0
BRA,BRAZIL,Washed / Wet,2015.0,7.415,7.625,7.46,7.46,7.46,10.0,10.0
CHN,CHINA,Anaerobic Honey,2023.0,7.33,7.75,7.75,7.5,7.92,10.0,9.33
CHN,CHINA,Anaerobic Honey,2024.0,7.33,7.75,7.75,7.5,7.92,10.0,9.33
CHN,CHINA,Natural / Dry,2014.0,7.48,7.415,7.398,7.352,7.562,9.668,9.832
CHN,CHINA,Natural / Dry,2015.0,7.737,7.727,7.534,7.653,7.584,10.0,10.0
CHN,CHINA,Natural / Dry,2016.0,7.648,7.688,7.498,7.688,7.728,10.0,10.0
CHN,CHINA,Natural / Dry,2017.0,7.17,7.17,7.17,7.42,7.25,10.0,10.0
CHN,CHINA,Natural / Dry,2022.0,7.585,7.52,7.332,7.418,7.373,10.0,8.332
CHN,CHINA,Natural / Dry,2023.0,7.7,7.639,7.552,7.569,7.556,10.0,9.679
CHN,CHINA,Natural / Dry,2024.0,7.871,7.887,7.783,7.783,7.763,10.0,9.982
CHN,CHINA,Natural / Dry,2025.0,7.837,7.777,7.61,7.583,7.583,10.0,10.0
CHN,CHINA,Other,2012.0,7.5,7.5,7.42,7.25,7.5,10.0,10.0
CHN,CHINA,Other,2013.0,7.464,7.441,7.344,7.369,7.463,10.0,10.0
CHN,CHINA,Other,2014.0,7.464,7.441,7.344,7.369,7.463,10.0,10.0
CHN,CHINA,Other,2016.0,7.33,7.08,7.08,7.08,7.33,10.0,10.0
CHN,CHINA,Pulped natural / honey,2015.0,7.75,7.79,7.71,7.875,7.795,10.0,10.0
CHN,CHINA,Pulped natural / honey,2016.0,7.67,7.42,7.5,7.42,7.5,10.0,10.0
CHN,CHINA,Pulped natural / honey,2023.0,7.732,7.729,7.635,7.648,7.646,10.0,9.846
CHN,CHINA,Pulped natural / honey,2024.0,7.835,7.846,7.75,7.788,7.782,10.0,9.898
