iso_alpha,Country.of.Origin,Processing.Method,Harvest.Year,Average_Aroma,Average_Flavor,Average_Aftertaste,Average_Acidity,Average_Balance,Average_Sweetness,Average_Clean.Cup
ECU,ECUADOR,Unknown,2016,7.625,7.625,7.54,7.665,6.54,8.085,10.0
IND,INDIA,Natural / Dry,2013,7.5,7.25,7.14,7.61,7.443,7.443,9.777
IND,INDIA,Natural / Dry,2015,7.67,7.83,7.75,7.5,7.58,7.75,10.0
IND,INDIA,Unknown,2012,8.0,7.92,7.67,8.0,7.92,7.75,10.0
IND,INDIA,Unknown,2014,7.64,7.667,7.667,7.58,7.64,7.64,10.0
IND,INDIA,Unknown,2015,7.835,7.79,7.795,7.835,7.75,7.705,10.0
IND,INDIA,Washed / Wet,2015,7.67,7.75,7.58,7.83,8.0,7.92,10.0
IND,INDIA,Washed / Wet,2017,7.835,7.75,7.875,7.835,7.875,7.96,10.0
UGA,UGANDA,Unknown,2013,7.867,7.737,7.63,7.714,7.667,7.726,10.0
UGA,UGANDA,Unknown,2014,7.75,7.807,7.777,7.72,7.667,7.667,10.0
