Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010, World,24879.39,9166140.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Belgium,10580.95,3898260.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Poland,5365.02,1976600.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Germany,2488.1,916673.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Thailand,1892.87,697375.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Italy,1714.95,631828.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Japan,1376.74,507225.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Slovenia,253.44,93373.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Oman,233.09,85875.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Netherlands,186.72,68792.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,United States,183.85,67735.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,France,115.2,42442.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,"Other Asia, nes",104.0,38316.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Australia,92.5,34080.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,China,86.85,31998.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Spain,83.6,30800.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Indonesia,34.94,12874.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Portugal,30.72,11318.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,Vietnam,28.11,10357.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,"Hong Kong, China",23.33,8595.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2010,"Korea, Rep.",4.4,1621.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019, World,54766.62,26147800.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Vietnam,28887.39,15757900.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Thailand,6794.82,2273440.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Belgium,5236.06,1623000.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Japan,4834.06,2135510.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Cambodia,2932.0,1480610.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,"Other Asia, nes",1462.95,648200.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Germany,1288.69,739290.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,United States,709.08,302210.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,United Arab Emirates,514.94,134400.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Sweden,482.55,115200.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Spain,268.8,192000.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Portugal,267.84,172800.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,Canada,220.32,122400.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,China,208.6,57600.0,Kg
Lao PDR,Export,90111,"Coffee, not roasted or decaffeinated",2019,India,186.3,162000.0,Kg
